name,gender,inhouse,caegory,title,urls,likes,profile,photolink
井上 一鷹,1,,ヘルスケア,JINS Think Lab JINS執行役員　株式会社Think Lab 取締役,https://newspicks.com//user/628824?ref=recommended-picker,12626,井上 一鷹       JINS Think Lab JINS執行役員　株式会社Think Lab 取締役   ジャンル: キャリア  もらったいいね数: 12626  大学卒業後、戦略コンサルティングファームのアーサー・D・リトルにて大手製造業を中心とした事業戦略、技術経営戦略、人事組織戦略の立案に従事後、ジンズに入社。JINS MEMEの事業開発を経て、株式会社Think Labを立ち上げ、取締役。算数オリンピックではアジア4位になったこともある。最近「集中力 パフォーマンスを300倍にする働き方」を執筆。  https://twitter.com/kazutaka_inou  … 続きを読む,https://newspicks.com//users/628824/cover?width=128&height=128&circle=true&t=20210410023344000
平井 孝幸,1,,ヘルスケア,DeNA/ 東京大学医学部附属病院 22世紀医療センター,https://newspicks.com//user/292168?ref=recommended-picker,9807,平井 孝幸       DeNA/ 東京大学医学部附属病院 22世紀医療センター   ジャンル: ヘルスケア・福祉  もらったいいね数: 9807  『最高のコンディションを毎日維持するためにしていること』 東洋経済新報社※2021/1/29刊行 https://amzn.to/2XAkSlv  ゴルフ仲間絶賛募集中Twitter @hirai_takayuki_  健康経営アドバイザー。DeNAで働く人を健康にするため2016年1月にCHO（最高健康責任者）室を立ち上げる。働く人のパフォーマンス向上をテーマにした多岐に渡る取組みが評価され、健康経営銘柄2019.2020に選定される。  また（株）EggStellarの代表として、横浜市大の武部貴則教授とコミュニケーションデザインやエンタメ要素を取り入れた健康行動変容コンサルティングを行う。  ■2016年6月- 渋谷ウェルネスシティ・コンソーシアム理事長 ※渋谷の企業への健康経営の普及  ■2017年10月- JWCLA（日本健康企業推進者協会）事務局長 ※健康経営を日本企業の文化にするための活動  ■2018年6月- DBJ（日本政策投資銀行）健康経営格付アドバイザリー社外委員 ※健康経営の評価制度への提言  ■2018年9月- 東京大学医学部附属病院 22世紀医療センター 研究員 ※健康的なライフスタイルへの行動変容をもたらすプログラム開発など  ■2020年1月- 日本プロゴルフ協会　経営戦略アドバイザー ※ゴルフ人口を増やすための提言、実行  NP記事 ・2019年、健康化を推進する3つの改革 　https://newspicks.com/news/3575946 ・ヘルスシフト元年。「健康経営」が経営戦略になる 　https://newspicks.com/news/2698295 ・【ビジネスに効く】今から始める健康革命、5つのポイント 　https://newspicks.com/news/3026141 ・【DeNA】生産性低下の原因1位は腰痛。「3つのストレッチ」で改善 　https://newspicks.com/news/2484071?ref=search  Facebook https://www.facebook.com/takayuki.hirai.948  … 続きを読む,https://newspicks.com//users/292168/cover?width=128&height=128&circle=true&t=20210128151323000
堀向 健太,1,,ヘルスケア,東京慈恵会医科大学葛飾医療センター 小児科医・アレルギー科医・医学博士,https://newspicks.com//user/5351485?ref=recommended-picker,15593,堀向 健太       東京慈恵会医科大学葛飾医療センター 小児科医・アレルギー科医・医学博士   ジャンル: ヘルスケア・福祉  もらったいいね数: 15593  1998年鳥取大学医学部卒業。2012年から東京慈恵会医科大学葛飾医療センター小児科。 日本小児科学会専門医・指導医、日本アレルギー学会専門医・指導医・代議員・広報委員会委員。日本小児アレルギー学会代議員・研究推進委員会委員・臨床研究支援セミナー委員・広報ワーキングループ委員。医学雑誌『チャイルドヘルス』編集委員。医学雑誌の総論を年間10本以上、さまざまな医療情報サイトで専門記事、一般向けの医療情報記事を年間20本以上執筆。  主な著書：子どものアトピー性皮膚炎のケア(内外出版)、ほむほむ先生の小児アレルギー教室(丸善出版) Yahoo!個人オーサー: 小児科医堀向健太の気になる医療情報 https://news.yahoo.co.jp/byline/horimukaikenta/ 2020年月間MVA受賞。 ブログ：小児アレルギー科医の備忘録 https://pediatric-allergy.com/ Twitter: https://twitter.com/ped_allergy (フォロワー8.5万人) Instagram: https://www.instagram.com/homuhomu_allergist/ (フォロワー2.1万人) note: https://note.com/ped_allergy (フォロワー1200人)  … 続きを読む,https://newspicks.com//users/5351485/cover?width=128&height=128&circle=true&t=20210713144135000
清水 和夫,1,,ビジネス,Automobile Jurnalist http://www.startyourengines.net/,https://newspicks.com//user/1594705?ref=recommended-picker,14884,清水 和夫       Automobile Jurnalist http://www.startyourengines.net/   ジャンル: 自動車  もらったいいね数: 14884  愛好しているのはハンドル付きのエンジン車ですが最近は自動運転技術や電動化にも魅了されてます。YouTubeで言いたい放談中。 https://www.youtube.com/user/StartYourEnginesX    … 続きを読む,https://newspicks.com//users/1594705/cover?width=128&height=128&circle=true&t=20200224044604000
松永 エリック・匡史,1,,ビジネス,青山学院大学 教授 アバナード株式会社 デジタル最高顧問,https://newspicks.com//user/1990079?ref=recommended-picker,18023,松永 エリック・匡史       青山学院大学 教授 アバナード株式会社 デジタル最高顧問   ジャンル: IT・テクノロジー  もらったいいね数: 18023  twitter : @EricMatsunaga  松永エリック公式HP:http://ericmatsunaga.jp   1967年東京生まれ。青山学院大学国際政治経済学研究科修士課程修了。幼少期を南米（ドミニカ共和国）で過ごす。バークリー音楽院にてJazzを学び、プロミュージシャンとして活動。大手メーカーのシステムエンジニア、米国大手通信会社AT&Tを経て、ビジネスコンサルタントとして、アクセンチュア、野村総合研究所、日本IBMを経て、デロイトトーマツ コンサルティング メディアセクターAPAC統括パートナー・執行役員、PwCコンサルティング デジタルサービス日本統括パートナーとして、デジタル事業の立ち上げ、エクスペリエンスセンターをコンセプトデザインからリード、初代エクスペリエンスセンター長。 2018年よりアバナード(株) デジタル最高顧問。2019年4月より青山学院大学 地球社会共生学部 教授。事業構想大学院大学 特任教授。エリックゼミ主催。  … 続きを読む,https://newspicks.com//users/1990079/cover?width=128&height=128&circle=true&t=20210712211650000
宇田川 元一,1,,ビジネス,埼玉大学経済経営系大学院 准教授,https://newspicks.com//user/2077468?ref=recommended-picker,11944,宇田川 元一       埼玉大学経済経営系大学院 准教授   ジャンル: 経営学  もらったいいね数: 11944  経営学者。 『組織が変わるーー行き詰まりから一歩抜け出す対話の方法2on2』（ダイヤモンド社）、『他者と働くーー「わかりあえなさ」から始める組織論』（NewsPicksパブリッシング）著者。 2006年早稲田大学アジア太平洋研究センター助手、2007年長崎大学経済学部講師・准教授、2010年西南学院大学商学部准教授を経て、2016年より現職。 専門は、経営戦略論、組織論。 ナラティヴ・アプローチに基づいた企業変革、イノベーション推進、戦略開発の研究を行っている。また、大手製造業やスタートアップ企業のイノベーション推進や企業変革のアドバイザーとして、その実践を支援している。 HRアワード2020書籍部門最優秀賞受賞（『他者と働く』）。2007年度経営学史学会賞（論文部門奨励賞）受賞。  … 続きを読む,https://newspicks.com//users/2077468/cover?width=128&height=128&circle=true&t=20210427234350000
寺田 修輔,1,,ビジネス,株式会社ミダスキャピタル 取締役パートナー,https://newspicks.com//user/1300914?ref=recommended-picker,1607,寺田 修輔       株式会社ミダスキャピタル 取締役パートナー   ジャンル: 金融  もらったいいね数: 1607  2009年よりシティグループ証券株式会社にて株式調査業務や財務アドバイザリー業務に従事し、 ディレクターや不動産チームヘッドを歴任。 2016年に株式会社じげんに入社し、 取締役執行役員CFOとしてM&Aを中心とする投資戦略、 財務戦略、 経営企画の統括や東証1部への市場変更、 コーポレート体制の強化を牽引。 2020年7月より株式会社ミダスキャピタルに取締役パートナーとして参画。 Chartered Financial Analyst（CFA協会認定証券アナリスト）。   … 続きを読む,https://newspicks.com//users/1300914/cover?width=128&height=128&circle=true&t=20201030015241000
奥谷 孝司,1,,ビジネス,オイシックス・ラ・大地株式会社・株式会社顧客時間 執行役員 Chief Omni-Channel Officer/ PhD Student  / 共同CEO 取締役,https://newspicks.com//user/419840?ref=recommended-picker,21821,奥谷 孝司       オイシックス・ラ・大地株式会社・株式会社顧客時間 執行役員 Chief Omni-Channel Officer/ PhD Student  / 共同CEO 取締役   ジャンル: 広告・マーケティング  もらったいいね数: 21821  1997年良品計画入社。３年の店舗経験の後、取引先の商社に２年出向しドイツ駐在。家具、雑貨関連の商品開発や貿易業務に従事。帰国後、海外のプロダクトデザイナーとのコラボレーションを手掛ける「World MUJI企画」を運営。2003年良品計画初となるインハウスデザイナーを有する企画デザイン室の立ち上げメンバーとなる。2005年衣服雑貨部の衣料雑貨のカテゴリーマネージャー。現在定番商品の「足なり直角靴下」を開発、ヒット商品に。2010年WEB事業部長。「MUJI passport」のプロデュースで14年日本アドバタイザーズ協会Web広告研究会の第２回WebグランプリのWeb人部門でWeb人大賞を受賞。  2015年10月よりオイシックス株式会社入社。Chief Omni-Channel Officerに就任。 2016年10月より　執行役員　Chief Omni-Channel Officer  早稲田大学大学院商学研究科夜間主MBAマーケティング・マネジメントコース（守口剛ゼミ）修了  2021年3月一橋大学大学院経営管理研究科博士後期課程単位取得満期退学  2017年10月株式会社Engagement Commerce Lab. 設立 2018年9月 株式会社大広との共同出資会社株式会社顧客時間設立。    … 続きを読む,https://newspicks.com//users/419840/cover?width=128&height=128&circle=true&t=20210412003246000
倉田 浩美,2,,ビジネス,ザボディショップジャパン株式会社 代表取締役社長,https://newspicks.com//user/6281854?ref=recommended-picker,4292,倉田 浩美       ザボディショップジャパン株式会社 代表取締役社長   ジャンル: 小売・流通  もらったいいね数: 4292  米国セントラルワシントン州立大学を卒業後、現地のコンサルティングファーム プライスウォーターハウスクーパーズ（PwC）にて、コンサルタントとしてリテール業界のグローバル展開などを支援。帰国後、ギャップジャパン、コーチジャパンのファイナンスディレクター及びマーケティング総括責任者、フルラジャパン初の日本人社長を経て、現在はザボディショップジャパン株式会社で代表取締役を務める  … 続きを読む,https://newspicks.com//users/6281854/cover?width=128&height=128&circle=true&t=20201130085356000
神領 貢,1,,ビジネス,ニューモデルマガジンＸ 編集長,https://newspicks.com//user/1579037?ref=recommended-picker,51427,神領 貢       ニューモデルマガジンＸ 編集長   ジャンル: 自動車  もらったいいね数: 51427  しんりょうみつぐ 1959年3月20日生まれ。関西大学社会学部マスコミ(現メディア)専攻卒業後、自動車業界誌やJAF等を経て、「ニューモデルマガジンX」月刊化創刊メンバー。33年目に入った。5年目から編集長。その後2度更迭され2度編集長に復帰、現在に至る。自動車業界ウォッチャーとして40年だが、本人は「少々長くやり過ぎたかも」と自嘲気味だ。徹底した現場主義で、自動車行政はもとより自動車開発、生産から販売まで守備範囲は広い。最近は業際感覚で先進技術を取材。マガジンX(ムックハウス)を2011年にMBOした。 https://mag-x.jp  … 続きを読む,https://newspicks.com//users/1579037/cover?width=128&height=128&circle=true&t=20210622083958000
